"Query","Clicks","Impressions","CTR","Position","Prev Clicks","Prev Impressions","Prev CTR","Prev Position","Change - Clicks","Change - Impressions","Change - CTR","Change - Position"
"google indexing api nodejs","9","49","0.1837","2.8065",4,35,0.1143,2.9615,5,14,0.0694,0.155
"elansia good web","2","25","0.08","8.4167",0,5,0,7.5,2,20,0.08,-0.9167
"google indexing api-php","2","56","0.0357","11.881",0,65,0,13.2245,2,-9,0.0357,1.3435
"google index api php","3","43","0.0698","13.8438",2,43,0.0465,11.3125,1,0,0.0233,-2.5313
"bulk page speed test","2","108","0.0185","19.1471",1,94,0.0106,15.4909,1,14,0.0079,-3.6562
"page speed insights api","1","950","0.0011","50.7486",0,486,0,71.6642,1,464,0.0011,20.9156
"google indexing api python","1","45","0.0222","65.4828",0,54,0,33.8,1,-9,0.0222,-31.6828
"web for","1","58","0.0172","9.814",0,74,0,9.2069,1,-16,0.0172,-0.6071
"pagespeed test","1","332","0.003","62.0325",0,291,0,59.7545,1,41,0.003,-2.278
"google indexing service","1","187","0.0053","21.0849",0,156,0,18.6415,1,31,0.0053,-2.4434
"formation search console","1","165","0.0061","32.2538",0,195,0,22.6169,1,-30,0.0061,-9.6369
"ecommerce seo consultant","0","13","0","43",0,89,0,84.8361,0,-76,0,41.8361
"ergonomie mobile google","0","33","0","17.4815",0,146,0,18.0813,0,-113,0,0.5998
"consultant seo e-commerce","0","77","0","63.7941",0,279,0,84.9855,0,-202,0,21.1914
"agence seo yvelines","0","3","0","112",0,0,0,0,0,3,0,-112
"google api nodejs","0","21","0","10.3158",0,43,0,10.0645,0,-22,0,-0.2513
"google coaching","0","23","0","47.4706",0,23,0,47.2222,0,0,0,-0.2484
"formation google search console débutant online","0","36","0","77.0294",0,0,0,0,0,36,0,-77.0294
"google indexation","0","824","0","78.8129",0,972,0,77.0588,0,-148,0,-1.7541
"google indexation indexation.fr","0","623","0","45.9944",0,945,0,57.8101,0,-322,0,11.8157
"google seo speed test","0","1","0","72",0,0,0,0,0,1,0,-72
"cooper test norms","0","3","0","4.6667",0,0,0,0,0,3,0,-4.6667
"api speakers","0","3","0","15.3333",0,0,0,0,0,3,0,-15.3333
"google api testing","0","1","0","47",0,0,0,0,0,1,0,-47
"google indexing api limits","0","7","0","65.6667",0,10,0,42.125,0,-3,0,-23.5417
"time bulk","0","1","0","4",0,0,0,0,0,1,0,-4
"test site seo google","0","1","0","100",0,0,0,0,0,1,0,-100
"coaching seo","0","4348","0","63.6201",0,4982,0,72.326,0,-634,0,8.7059
"google rank api","0","3","0","45.6667",0,7,0,50.4286,0,-4,0,4.7619
"searchconsole","0","3","0","82.5",0,0,0,0,0,3,0,-82.5
"index now api","0","41","0","36.9706",0,33,0,50.037,0,8,0,13.0664
"indexation google","0","352","0","95.8072",0,1036,0,84.1,0,-684,0,-11.7072
"indexation google indexation.fr","0","695","0","54.4943",0,1282,0,53.8398,0,-587,0,-0.6545
"indexation google www.indexation.fr","0","33","0","71.9355",0,63,0,67.9362,0,-30,0,-3.9993
